166105 信达增利 深证基金   xdzl
000504 *ST生物 深证A股   STsw
000505 *ST珠江 深证A股   STzj
000506 中润资源 深证A股   zrzy
000507 珠海港 深证A股   zhg
000508 琼民源A 深证A股   qmyA
000509 华塑控股 深证A股   hskg
000510 金路集团 深证A股   jljt
000511 *ST烯碳 深证A股   STxt
000513 丽珠集团 深证A股   lzjt
000514 渝开发 深证A股   ykf
000515 攀渝钛业 深证A股   pyty
000516 国际医学 深证A股   gjyx
000517 荣安地产 深证A股   radc
000518 四环生物 深证A股   shsw
000519 江南红箭 深证A股   jnhj
000520 长航凤凰 深证A股   chfh
000521 美菱电器 深证A股   mldq
000522 白云山A 深证A股   bysA
000523 广州浪奇 深证A股   gzlq
000524 岭南控股 深证A股   lnkg
000525 红太阳 深证A股   hty
000526 银润投资 深证A股   yrtz
000527 美的电器 深证A股   mddq
000528 柳工 深证A股   lg
000529 广弘控股 深证A股   ghkg
000530 大冷股份 深证A股   dlgf
000531 穗恒运A 深证A股   shyA
000532 力合股份 深证A股   lhgf
000533 万家乐 深证A股   wjl
000534 万泽股份 深证A股   wzgf
000535 *ST猴王 深证A股   SThw
000536 华映科技 深证A股   hykj
000537 广宇发展 深证A股   gyfz
000538 云南白药 深证A股   ynby
000539 粤电力A 深证A股   ydlA
000540 中天城投 深证A股   ztct
000541 佛山照明 深证A股   fszm
000542 TCL通讯 深证A股   TCLtx
000543 皖能电力 深证A股   wndl
000544 中原环保 深证A股   zyhb
000545 金浦钛业 深证A股   jpty
000546 金圆股份 深证A股   jygf
000547 航天发展 深证A股   htfz
000548 湖南投资 深证A股   hntz
000549 S湘火炬 深证A股   Sxhj
000550 江铃汽车 深证A股   jlqc
000551 创元科技 深证A股   cykj
000552 靖远煤电 深证A股   jymd
000553 沙隆达A 深证A股   sldA
000554 泰山石油 深证A股   tssy
000555 神州信息 深证A股   szxx
000556 PT南洋 深证A股   PTny
000557 银广夏 深证A股   ygx
000558 莱茵体育 深证A股   lyty
000559 万向钱潮 深证A股   wxqc
000560 昆百大A 深证A股   kbdA
000561 烽火电子 深证A股   fhdz
000562 宏源证券 深证A股   hyzq
000563 陕国投A 深证A股   sgtA
000564 西安民生 深证A股   xams
000565 渝三峡A 深证A股   ysxA
000566 海南海药 深证A股   hnhy
000567 海德股份 深证A股   hdgf
000568 泸州老窖 深证A股   lzlj
000569 长城股份 深证A股   ccgf
000570 苏常柴A 深证A股   sccA
000571 新大洲A 深证A股   xdzA
000572 海马汽车 深证A股   hmqc
000573 粤宏远A 深证A股   yhyA
000576 广东甘化 深证A股   gdgh
000578 盐湖集团 深证A股   yhjt
000581 威孚高科 深证A股   wfgk
000582 北部湾港 深证A股   bbwg
000583 S*ST托普 深证A股   SSTtp
000584 友利控股 深证A股   ylkg
000585 东北电气 深证A股   dbdq
000586 汇源通信 深证A股   hytx
000587 金洲慈航 深证A股   jzch
000588 PT粤金曼 深证A股   PTyjm
000589 黔轮胎A 深证A股   qltA
000590 启迪古汉 深证A股   qdgh
000591 太阳能 深证A股   tyn
000592 平潭发展 深证A股   ptfz
000593 大通燃气 深证A股   dtrq
000594 国恒退 深证A股   ght
000595 宝塔实业 深证A股   btsy
000596 古井贡酒 深证A股   gjgj
000597 东北制药 深证A股   dbzy
000598 兴蓉环境 深证A股   xrhj
000599 青岛双星 深证A股   qdsx
000600 建投能源 深证A股   jtny
000601 韶能股份 深证A股   sngf
000602 金马集团 深证A股   jmjt
000603 盛达矿业 深证A股   sdky
000605 渤海股份 深证A股   bhgf
000606 *ST明胶 深证A股   STmx
000607 华媒控股 深证A股   hmkg
000608 阳光股份 深证A股   yggf
000609 绵世股份 深证A股   msgf
000610 西安旅游 深证A股   xaly
000611 *ST蒙发 深证A股   STmf
000612 焦作万方 深证A股   jzwf
000613 大东海A 深证A股   ddhA
000615 湖北金环 深证A股   hbjh
000616 海航投资 深证A股   hhtz
000617 *ST济柴 深证A股   STjc
000618 吉林化工 深证A股   jlhg
000619 海螺型材 深证A股   hlxc
000620 新华联 深证A股   xhl
000621 *ST比特 深证A股   STbt
000622 *ST恒立 深证A股   SThl
000623 吉林敖东 深证A股   jlad
000625 长安汽车 深证A股   caqc
000626 如意集团 深证A股   ryjt
000627 天茂集团 深证A股   tmjt
000628 高新发展 深证A股   gxfz
000629 *ST钒钛 深证A股   STft
000630 铜陵有色 深证A股   tlys
000631 顺发恒业 深证A股   sfhy
000632 三木集团 深证A股   smjt
000633 *ST合金 深证A股   SThj
000635 英力特 深证A股   ylt
000636 风华高科 深证A股   fhgk
000637 茂化实华 深证A股   mhsh
000638 万方发展 深证A股   wffz
000639 西王食品 深证A股   xwsp
000650 仁和药业 深证A股   rhyy
000651 格力电器 深证A股   gldq
000652 泰达股份 深证A股   tdgf
000653 ST九州 深证A股   STjz
000655 金岭矿业 深证A股   jlky
000656 金科股份 深证A股   jkgf
000657 中钨高新 深证A股   zwgx
000658 ST海洋 深证A股   SThy
000659 珠海中富 深证A股   zhzf
000660 *ST南华 深证A股   STnh
000661 长春高新 深证A股   ccgx
000662 天夏智慧 深证A股   txzh
000663 永安林业 深证A股   yaly
000665 湖北广电 深证A股   hbgd
000666 经纬纺机 深证A股   jwfj
000667 美好集团 深证A股   mhjt
000668 荣丰控股 深证A股   rfkg
000669 金鸿能源 深证A股   jhny
000670 *ST盈方 深证A股   STyf
000671 阳光城 深证A股   ygc
000672 上峰水泥 深证A股   sfsn
000673 当代东方 深证A股   dddf
000675 ST银山 深证A股   STys
000676 智度投资 深证A股   zdtz
000677 恒天海龙 深证A股   hthl
000678 襄阳轴承 深证A股   xyzc
000679 大连友谊 深证A股   dlyy
000680 山推股份 深证A股   stgf
000681 视觉中国 深证A股   sjzg
000682 东方电子 深证A股   dfdz
000683 远兴能源 深证A股   yxny
000685 中山公用 深证A股   zsgy
000686 东北证券 深证A股   dbzq
000687 华讯方舟 深证A股   hxfz
000688 建新矿业 深证A股   jxky
000689 ST宏业 深证A股   SThy
000690 宝新能源 深证A股   bxny
000691 ST亚太 深证A股   STyt
000692 惠天热电 深证A股   htrd
000693 ST华泽 深证A股   SThz
000695 滨海能源 深证A股   bhny
000697 炼石有色 深证A股   lsys
000698 沈阳化工 深证A股   cyhg
000699 S*ST佳纸 深证A股   SSTjz
000700 模塑科技 深证A股   mskj
000701 厦门信达 深证A股   smxd
000702 正虹科技 深证A股   zhkj
000703 恒逸石化 深证A股   hysh
000705 浙江震元 深证A股   zjzy
000707 双环科技 深证A股   shkj
000708 大冶特钢 深证A股   dytg
000709 河钢股份 深证A股   hggf
000710 天兴仪表 深证A股   txyb
000711 京蓝科技 深证A股   jlkj
000712 锦龙股份 深证A股   jlgf
000713 丰乐种业 深证A股   flzy
000715 中兴商业 深证A股   zxsy
000716 黑芝麻 深证A股   hzm
000717 *ST韶钢 深证A股   STsg
000718 苏宁环球 深证A股   snhq
000719 大地传媒 深证A股   ddcm
000720 新能泰山 深证A股   xnts
000721 西安饮食 深证A股   xays
000722 湖南发展 深证A股   hnfz
000723 美锦能源 深证A股   mjny
000725 京东方A 深证A股   jdfA
000726 鲁泰A 深证A股   ltA
000727 华东科技 深证A股   hdkj
000728 国元证券 深证A股   gyzq
000729 燕京啤酒 深证A股   yjpj
000730 *ST环保 深证A股   SThb
000731 四川美丰 深证A股   scmf
000732 泰禾集团 深证A股   thjt
000733 振华科技 深证A股   zhkj
000735 罗牛山 深证A股   lns
000736 中房地产 深证A股   zfdc
000737 南风化工 深证A股   nfhg
000738 中航动控 深证A股   zhdk
000739 普洛药业 深证A股   plyy
000748 长城信息 深证A股   ccxx
000750 国海证券 深证A股   ghzq
000751 锌业股份 深证A股   xygf
000752 西藏发展 深证A股   xcfz
000753 漳州发展 深证A股   zzfz
000755 山西三维 深证A股   sxsw
000756 新华制药 深证A股   xhzy
000757 浩物股份 深证A股   hwgf
000758 中色股份 深证A股   zsgf
000759 中百集团 深证A股   zbjt
000760 斯太尔 深证A股   ste
000761 本钢板材 深证A股   bgbc
000762 西藏矿业 深证A股   xcky
000763 锦州石化 深证A股   jzsh
000765 *ST华信 深证A股   SThx
000766 通化金马 深证A股   thjm
000767 漳泽电力 深证A股   zzdl
000768 中航飞机 深证A股   zhfj
000769 *ST大菲 深证A股   STdf
000776 广发证券 深证A股   gfzq
000777 中核科技 深证A股   zhkj
000778 新兴铸管 深证A股   xxzg
000779 三毛派神 深证A股   smps
000780 平庄能源 深证A股   pzny
000782 美达股份 深证A股   mdgf
000783 长江证券 深证A股   cjzq
000785 武汉中商 深证A股   whzs
000786 北新建材 深证A股   bxjc
000787 *ST创智 深证A股   STcz
000788 北大医药 深证A股   bdyy
000789 万年青 深证A股   wnq
000790 华神集团 深证A股   hsjt
000791 甘肃电投 深证A股   gsdt
000792 盐湖股份 深证A股   yhgf
000793 华闻传媒 深证A股   hwcm
000795 英洛华 深证A股   ylh
000796 凯撒旅游 深证A股   ksly
000797 中国武夷 深证A股   zgwy
000798 中水渔业 深证A股   zsyy
000799 酒鬼酒 深证A股   jgj
000800 一汽轿车 深证A股   yqjc
000801 四川九洲 深证A股   scjz
000802 北京文化 深证A股   bjwh
000803 金宇车城 深证A股   jycc
000805 *ST炎黄 深证A股   STyh
000806 银河生物 深证A股   yhsw
000807 云铝股份 深证A股   ylgf
000809 铁岭新城 深证A股   tlxc
000810 创维数字 深证A股   cwsz
000811 烟台冰轮 深证A股   ytbl
000812 陕西金叶 深证A股   sxjx
000813 天山纺织 深证A股   tsfz
000815 美利纸业 深证A股   mlzy
000816 智慧农业 深证A股   zhny
000817 辽河油田 深证A股   lhyt
000818 方大化工 深证A股   fdhg
000819 岳阳兴长 深证A股   yyxc
000820 金城股份 深证A股   jcgf
000821 京山轻机 深证A股   jsqj
000822 山东海化 深证A股   sdhh
000823 超声电子 深证A股   csdz
000825 太钢不锈 深证A股   tgbx
000826 启迪桑德 深证A股   qdsd
000827 *ST长兴 深证A股   STcx
000828 东莞控股 深证A股   dgkg
000829 天音控股 深证A股   tykg
000830 鲁西化工 深证A股   lxhg
000831 *ST五稀 深证A股   STwx
000832 *ST龙涤 深证A股   STld
000833 贵糖股份 深证A股   gtgf
000835 长城动漫 深证A股   ccdm
000836 鑫茂科技 深证A股   xmkj
000837 秦川机床 深证A股   qcjc
000838 财信发展 深证A股   cxfz
000839 中信国安 深证A股   zxga
000848 承德露露 深证A股   cdll
000850 华茂股份 深证A股   hmgf
000851 高鸿股份 深证A股   ghgf
000852 石化机械 深证A股   shjx
000856 *ST冀装 深证A股   STjz
000858 五粮液 深证A股   wly
000859 国风塑业 深证A股   gfsy
000860 顺鑫农业 深证A股   sxny
000861 海印股份 深证A股   hygf
000862 银星能源 深证A股   yxny
000863 三湘股份 深证A股   sxgf
000866 扬子石化 深证A股   yzsh
000868 安凯客车 深证A股   akkc
000869 张裕A 深证A股   zyA
000875 吉电股份 深证A股   jdgf
000876 新希望 深证A股   xxw
000877 天山股份 深证A股   tsgf
000878 云南铜业 深证A股   ynty
000880 潍柴重机 深证A股   wczj
000881 大连国际 深证A股   dlgj
000882 华联股份 深证A股   hlgf
000883 湖北能源 深证A股   hbny
000885 同力水泥 深证A股   tlsn
000886 海南高速 深证A股   hngs
000887 中鼎股份 深证A股   zdgf
000888 峨眉山A 深证A股   emsA
000889 茂业通信 深证A股   mytx
000890 法尔胜 深证A股   fes
000892 星美联合 深证A股   xmlh
000893 东凌国际 深证A股   dlgj
000895 双汇发展 深证A股   shfz
000897 津滨发展 深证A股   jbfz
000898 鞍钢股份 深证A股   aggf
000899 赣能股份 深证A股   gngf
000900 现代投资 深证A股   xdtz
000901 航天科技 深证A股   htkj
000902 新洋丰 深证A股   xyf
000903 云内动力 深证A股   yndl
000905 厦门港务 深证A股   smgw
000906 物产中拓 深证A股   wczt
000908 景峰医药 深证A股   jfyy
000909 数源科技 深证A股   sykj
000910 大亚科技 深证A股   dykj
000911 南宁糖业 深证A股   nnty
000912 泸天化 深证A股   lth
000913 *ST钱江 深证A股   STqj
000915 山大华特 深证A股   sdht
000916 华北高速 深证A股   hbgs
000917 电广传媒 深证A股   dgcm
000918 嘉凯城 深证A股   jkc
000919 金陵药业 深证A股   jlyy
000920 南方汇通 深证A股   nfht
000921 海信科龙 深证A股   hxkl
000922 佳电股份 深证A股   jdgf
000923 河北宣工 深证A股   hbxg
000925 众合科技 深证A股   zhkj
000926 福星股份 深证A股   fxgf
000927 一汽夏利 深证A股   yqxl
000928 中钢国际 深证A股   zggj
000929 兰州黄河 深证A股   lzhh
000930 中粮生化 深证A股   zlsh
000931 中关村 深证A股   zgc
000932 华菱钢铁 深证A股   hlgt
000933 *ST神火 深证A股   STsh
000935 四川双马 深证A股   scsm
000936 华西股份 深证A股   hxgf
000937 冀中能源 深证A股   jzny
000938 紫光股份 深证A股   zggf
000939 凯迪生态 深证A股   kdst
000948 南天信息 深证A股   ntxx
000949 新乡化纤 深证A股   xxhx
000950 *ST建峰 深证A股   STjf
000951 中国重汽 深证A股   zgzq
000952 广济药业 深证A股   gjyy
000953 河池化工 深证A股   hchg
000955 欣龙控股 深证A股   xlkg
000956 中原油气 深证A股   zyyq
000957 中通客车 深证A股   ztkc
000958 东方能源 深证A股   dfny
000959 首钢股份 深证A股   sggf
000960 锡业股份 深证A股   xygf
000961 中南建设 深证A股   znjs
000962 *ST东钽 深证A股   STdd
000963 华东医药 深证A股   hdyy
000965 天保基建 深证A股   tbjj
000966 长源电力 深证A股   cydl
000967 盈峰环境 深证A股   yfhj
000968 *ST煤气 深证A股   STmq
000969 安泰科技 深证A股   atkj
000970 中科三环 深证A股   zksh
000971 高升控股 深证A股   gskg
000972 中基健康 深证A股   zjjk
000973 佛塑科技 深证A股   fskj
000975 银泰资源 深证A股   ytzy
000976 春晖股份 深证A股   chgf
000977 浪潮信息 深证A股   lcxx
000978 桂林旅游 深证A股   glly
000979 中弘股份 深证A股   zhgf
000980 金马股份 深证A股   jmgf
000981 银亿股份 深证A股   yygf
000982 中银绒业 深证A股   zyry
000983 西山煤电 深证A股   xsmd
000985 大庆华科 深证A股   dqhk
000987 广州友谊 深证A股   gzyy
000988 华工科技 深证A股   hgkj
000989 九芝堂 深证A股   jzt
000990 诚志股份 深证A股   czgf
000991 通海高科 深证A股   thgk
000993 闽东电力 深证A股   mddl
000995 *ST皇台 深证A股   STht
000996 中国中期 深证A股   zgzq
000997 新大陆 深证A股   xdl
000998 隆平高科 深证A股   lpgk
000999 华润三九 深证A股   hrsj
001696 宗申动力 深证A股   zsdl
001896 豫能控股 深证A股   ynkg
001979 招商蛇口 深证A股   zssk
002001 新和成 深证A股 中小板  xhc
002002 鸿达兴业 深证A股 中小板  hdxy
002003 伟星股份 深证A股 中小板  wxgf
002004 华邦健康 深证A股 中小板  hbjk
002005 德豪润达 深证A股 中小板  dhrd
002006 精功科技 深证A股 中小板  jgkj
002007 华兰生物 深证A股 中小板  hlsw
002008 大族激光 深证A股 中小板  dzjg
002009 天奇股份 深证A股 中小板  tqgf
002010 传化股份 深证A股 中小板  chgf
002011 盾安环境 深证A股 中小板  dahj
002012 凯恩股份 深证A股 中小板  kegf
002013 中航机电 深证A股 中小板  zhjd
002014 永新股份 深证A股 中小板  yxgf
002015 霞客环保 深证A股 中小板  xkhb
002016 世荣兆业 深证A股 中小板  srzy
002017 东信和平 深证A股 中小板  dxhp
002018 华信国际 深证A股 中小板  hxgj
002019 亿帆鑫富 深证A股 中小板  yfxf
002020 京新药业 深证A股 中小板  jxyy
002021 中捷资源 深证A股 中小板  zjzy
002022 科华生物 深证A股 中小板  khsw
002023 海特高新 深证A股 中小板  htgx
002024 苏宁云商 深证A股 中小板  snys
002025 航天电器 深证A股 中小板  htdq
002026 山东威达 深证A股 中小板  sdwd
002027 分众传媒 深证A股 中小板  fzcm
002028 思源电气 深证A股 中小板  sydq
002029 七匹狼 深证A股 中小板  qpl
002030 达安基因 深证A股 中小板  dajy
002031 巨轮智能 深证A股 中小板  jlzn
002032 苏泊尔 深证A股 中小板  sbe
002033 丽江旅游 深证A股 中小板  ljly
002034 美欣达 深证A股 中小板  mxd
002035 华帝股份 深证A股 中小板  hdgf
002036 联创电子 深证A股 中小板  lcdz
002037 久联发展 深证A股 中小板  jlfz
002038 双鹭药业 深证A股 中小板  slyy
002039 黔源电力 深证A股 中小板  qydl
002040 南京港 深证A股 中小板  njg
002041 登海种业 深证A股 中小板  dhzy
002042 华孚色纺 深证A股 中小板  hfsf
002043 兔宝宝 深证A股 中小板  tbb
002044 美年健康 深证A股 中小板  mnjk
002045 国光电器 深证A股 中小板  ggdq
002046 轴研科技 深证A股 中小板  zykj
002047 宝鹰股份 深证A股 中小板  bygf
002048 宁波华翔 深证A股 中小板  nbhx
002049 同方国芯 深证A股 中小板  tfgx
002050 三花股份 深证A股 中小板  shgf
002051 中工国际 深证A股 中小板  zggj
002052 同洲电子 深证A股 中小板  tzdz
002053 云南盐化 深证A股 中小板  ynyh
002054 德美化工 深证A股 中小板  dmhg
002055 得润电子 深证A股 中小板  drdz
002056 横店东磁 深证A股 中小板  hddc
002057 中钢天源 深证A股 中小板  zgty
002058 威尔泰 深证A股 中小板  wet
002059 云南旅游 深证A股 中小板  ynly
002060 粤水电 深证A股 中小板  ysd
002061 *ST江化 深证A股 中小板  STjh
002062 宏润建设 深证A股 中小板  hrjs
002063 远光软件 深证A股 中小板  ygrj
002064 华峰氨纶 深证A股 中小板  hfal
002065 东华软件 深证A股 中小板  dhrj
002066 瑞泰科技 深证A股 中小板  rtkj
002067 景兴纸业 深证A股 中小板  jxzy
002068 黑猫股份 深证A股 中小板  hmgf
002069 *ST獐岛 深证A股 中小板  STzd
002070 众和股份 深证A股 中小板  zhgf
002071 长城影视 深证A股 中小板  ccys
002072 凯瑞德 深证A股 中小板  krd
002073 软控股份 深证A股 中小板  rkgf
002074 国轩高科 深证A股 中小板  gxgk
002075 沙钢股份 深证A股 中小板  sggf
002076 雪莱特 深证A股 中小板  xlt
002077 大港股份 深证A股 中小板  dggf
002078 太阳纸业 深证A股 中小板  tyzy
002079 苏州固锝 深证A股 中小板  szgd
002080 中材科技 深证A股 中小板  zckj
002081 金螳螂 深证A股 中小板  jtl
002082 栋梁新材 深证A股 中小板  dlxc
002083 孚日股份 深证A股 中小板  frgf
002084 海鸥卫浴 深证A股 中小板  howy
002085 万丰奥威 深证A股 中小板  wfaw
002086 东方海洋 深证A股 中小板  dfhy
002087 新野纺织 深证A股 中小板  xyfz
002088 鲁阳节能 深证A股 中小板  lyjn
002089 新海宜 深证A股 中小板  xhy
002090 金智科技 深证A股 中小板  jzkj
002091 江苏国泰 深证A股 中小板  jsgt
002092 中泰化学 深证A股 中小板  zthx
002093 国脉科技 深证A股 中小板  gmkj
002094 青岛金王 深证A股 中小板  qdjw
002095 生意宝 深证A股 中小板  syb
002096 南岭民爆 深证A股 中小板  nlmb
002097 山河智能 深证A股 中小板  shzn
002098 浔兴股份 深证A股 中小板  xxgf
002099 海翔药业 深证A股 中小板  hxyy
002100 天康生物 深证A股 中小板  tksw
002101 广东鸿图 深证A股 中小板  gdht
002102 冠福股份 深证A股 中小板  gfgf
002103 广博股份 深证A股 中小板  gbgf
002104 恒宝股份 深证A股 中小板  hbgf
002105 信隆实业 深证A股 中小板  xlsy
002106 莱宝高科 深证A股 中小板  lbgk
002107 沃华医药 深证A股 中小板  whyy
002108 沧州明珠 深证A股 中小板  czmz
002109 *ST兴化 深证A股 中小板  STxh
002110 三钢闽光 深证A股 中小板  sgmg
002111 威海广泰 深证A股 中小板  whgt
002112 三变科技 深证A股 中小板  sbkj
002113 天润控股 深证A股 中小板  trkg
002114 罗平锌电 深证A股 中小板  lpxd
002115 三维通信 深证A股 中小板  swtx
002116 中国海诚 深证A股 中小板  zghc
002117 东港股份 深证A股 中小板  dggf
002118 紫鑫药业 深证A股 中小板  zxyy
002119 康强电子 深证A股 中小板  kqdz
002120 新海股份 深证A股 中小板  xhgf
002121 科陆电子 深证A股 中小板  kldz
002122 天马股份 深证A股 中小板  tmgf
002123 荣信股份 深证A股 中小板  rxgf
002124 天邦股份 深证A股 中小板  tbgf
002125 湘潭电化 深证A股 中小板  xtdh
002126 银轮股份 深证A股 中小板  ylgf
002127 南极电商 深证A股 中小板  njds
002128 露天煤业 深证A股 中小板  ltmy
002129 中环股份 深证A股 中小板  zhgf
002130 沃尔核材 深证A股 中小板  wehc
002131 利欧股份 深证A股 中小板  logf
002132 恒星科技 深证A股 中小板  hxkj
002133 广宇集团 深证A股 中小板  gyjt
002134 天津普林 深证A股 中小板  tjpl
002135 东南网架 深证A股 中小板  dnwj
002136 安纳达 深证A股 中小板  and
002137 麦达数字 深证A股 中小板  mdsz
002138 顺络电子 深证A股 中小板  sldz
002139 拓邦股份 深证A股 中小板  tbgf
002140 东华科技 深证A股 中小板  dhkj
002141 蓉胜超微 深证A股 中小板  rscw
002142 宁波银行 深证A股 中小板  nbyx
002143 印纪传媒 深证A股 中小板  yjcm
002144 宏达高科 深证A股 中小板  hdgk
002145 中核钛白 深证A股 中小板  zhtb
002146 荣盛发展 深证A股 中小板  rsfz
002147 新光圆成 深证A股 中小板  xgyc
002148 北纬通信 深证A股 中小板  bwtx
002149 西部材料 深证A股 中小板  xbcl
002150 通润装备 深证A股 中小板  trzb
002151 北斗星通 深证A股 中小板  bdxt
002152 广电运通 深证A股 中小板  gdyt
002153 石基信息 深证A股 中小板  sjxx
002154 报喜鸟 深证A股 中小板  bxn
002155 湖南黄金 深证A股 中小板  hnhj
002156 通富微电 深证A股 中小板  tfwd
002157 正邦科技 深证A股 中小板  zbkj
002158 汉钟精机 深证A股 中小板  hzjj
002159 三特索道 深证A股 中小板  stsd
002160 常铝股份 深证A股 中小板  clgf
002161 远望谷 深证A股 中小板  ywg
002162 悦心健康 深证A股 中小板  yxjk
002163 中航三鑫 深证A股 中小板  zhsx
002164 宁波东力 深证A股 中小板  nbdl
002165 红宝丽 深证A股 中小板  hbl
002166 莱茵生物 深证A股 中小板  lysw
002167 东方锆业 深证A股 中小板  dfgy
002168 深圳惠程 深证A股 中小板  szhc
002169 智光电气 深证A股 中小板  zgdq
002170 芭田股份 深证A股 中小板  btgf
002171 楚江新材 深证A股 中小板  cjxc
002172 澳洋科技 深证A股 中小板  aykj
002173 *ST千足 深证A股 中小板  STqz
002174 游族网络 深证A股 中小板  yzwl
002175 东方网络 深证A股 中小板  dfwl
002176 江特电机 深证A股 中小板  jtdj
002177 御银股份 深证A股 中小板  yygf
002178 延华智能 深证A股 中小板  yhzn
002179 中航光电 深证A股 中小板  zhgd
002180 艾派克 深证A股 中小板  apk
002181 粤传媒 深证A股 中小板  ycm
002182 云海金属 深证A股 中小板  yhjs
002183 怡亚通 深证A股 中小板  yyt
002184 海得控制 深证A股 中小板  hdkz
002185 华天科技 深证A股 中小板  htkj
002186 全聚德 深证A股 中小板  qjd
002187 广百股份 深证A股 中小板  gbgf
002188 巴士在线 深证A股 中小板  bszx
002189 利达光电 深证A股 中小板  ldgd
002190 成飞集成 深证A股 中小板  cfjc
002191 劲嘉股份 深证A股 中小板  jjgf
002192 融捷股份 深证A股 中小板  rjgf
002193 山东如意 深证A股 中小板  sdry
002194 武汉凡谷 深证A股 中小板  whfg
002195 二三四五 深证A股 中小板  essw
002196 方正电机 深证A股 中小板  fzdj
002197 证通电子 深证A股 中小板  ztdz
002198 嘉应制药 深证A股 中小板  jyzy
002199 *ST东晶 深证A股 中小板  STdj
002200 云投生态 深证A股 中小板  ytst
002201 九鼎新材 深证A股 中小板  jdxc
002202 金风科技 深证A股 中小板  jfkj
002203 海亮股份 深证A股 中小板  hlgf
002204 大连重工 深证A股 中小板  dlzg
002205 国统股份 深证A股 中小板  gtgf
002206 海利得 深证A股 中小板  hld
002207 准油股份 深证A股 中小板  zygf
002208 合肥城建 深证A股 中小板  hfcj
002209 达意隆 深证A股 中小板  dyl
002210 飞马国际 深证A股 中小板  fmgj
002211 宏达新材 深证A股 中小板  hdxc
002212 南洋股份 深证A股 中小板  nygf
002213 特尔佳 深证A股 中小板  tej
002214 大立科技 深证A股 中小板  dlkj
002215 诺普信 深证A股 中小板  npx
002216 三全食品 深证A股 中小板  sqsp
002217 合力泰 深证A股 中小板  hlt
002218 拓日新能 深证A股 中小板  trxn
002219 恒康医疗 深证A股 中小板  hkyl
002220 天宝股份 深证A股 中小板  tbgf
002221 东华能源 深证A股 中小板  dhny
002222 福晶科技 深证A股 中小板  fjkj
002223 鱼跃医疗 深证A股 中小板  yyyl
002224 三力士 深证A股 中小板  sls
002225 濮耐股份 深证A股 中小板  pngf
002226 江南化工 深证A股 中小板  jnhg
002227 奥特迅 深证A股 中小板  atx
002228 合兴包装 深证A股 中小板  hxbz
002229 鸿博股份 深证A股 中小板  hbgf
002230 科大讯飞 深证A股 中小板  kdxf
002231 奥维通信 深证A股 中小板  awtx
002232 启明信息 深证A股 中小板  qmxx
002233 塔牌集团 深证A股 中小板  tpjt
002234 民和股份 深证A股 中小板  mhgf
002235 安妮股份 深证A股 中小板  angf
002236 大华股份 深证A股 中小板  dhgf
002237 恒邦股份 深证A股 中小板  hbgf
002238 天威视讯 深证A股 中小板  twsx
002239 奥特佳 深证A股 中小板  atj
002240 威华股份 深证A股 中小板  whgf
002241 歌尔声学 深证A股 中小板  gesx
002242 九阳股份 深证A股 中小板  jygf
002243 通产丽星 深证A股 中小板  tclx
002244 滨江集团 深证A股 中小板  bjjt
002245 澳洋顺昌 深证A股 中小板  aysc
002246 北化股份 深证A股 中小板  bhgf
002247 帝龙新材 深证A股 中小板  dlxc
002248 华东数控 深证A股 中小板  hdsk
002249 大洋电机 深证A股 中小板  dydj
002250 联化科技 深证A股 中小板  lhkj
002251 步步高 深证A股 中小板  bbg
002252 上海莱士 深证A股 中小板  shls
002253 川大智胜 深证A股 中小板  cdzs
002254 泰和新材 深证A股 中小板  thxc
002255 海陆重工 深证A股 中小板  hlzg
002256 彩虹精化 深证A股 中小板  chjh
002257 立立电子 深证A股 中小板  lldz
002258 利尔化学 深证A股 中小板  lehx
002259 升达林业 深证A股 中小板  sdly
002260 德奥通航 深证A股 中小板  dath
002261 拓维信息 深证A股 中小板  twxx
002262 恩华药业 深证A股 中小板  ehyy
002263 大东南 深证A股 中小板  ddn
002264 新华都 深证A股 中小板  xhd
002265 西仪股份 深证A股 中小板  xygf
002266 浙富控股 深证A股 中小板  zfkg
002267 陕天然气 深证A股 中小板  strq
002268 卫士通 深证A股 中小板  wst
002269 美邦服饰 深证A股 中小板  mbfs
002270 法因数控 深证A股 中小板  fysk
002271 东方雨虹 深证A股 中小板  dfyh
002272 川润股份 深证A股 中小板  crgf
002273 水晶光电 深证A股 中小板  sjgd
002274 华昌化工 深证A股 中小板  hchg
002275 桂林三金 深证A股 中小板  glsj
002276 万马股份 深证A股 中小板  wmgf
002277 友阿股份 深证A股 中小板  yagf
002278 神开股份 深证A股 中小板  skgf
002279 久其软件 深证A股 中小板  jqrj
002280 联络互动 深证A股 中小板  llhd
002281 光迅科技 深证A股 中小板  gxkj
002282 博深工具 深证A股 中小板  bsgj
002283 天润曲轴 深证A股 中小板  trqz
002284 亚太股份 深证A股 中小板  ytgf
002285 世联行 深证A股 中小板  slx
002286 保龄宝 深证A股 中小板  blb
002287 奇正藏药 深证A股 中小板  qzcy
002288 超华科技 深证A股 中小板  chkj
002289 *ST宇顺 深证A股 中小板  STys
002290 禾盛新材 深证A股 中小板  hsxc
002291 星期六 深证A股 中小板  xql
002292 奥飞娱乐 深证A股 中小板  afyl
002293 罗莱生活 深证A股 中小板  llsh
002294 信立泰 深证A股 中小板  xlt
002295 精艺股份 深证A股 中小板  jygf
002296 辉煌科技 深证A股 中小板  hhkj
002297 博云新材 深证A股 中小板  byxc
